chiSquare info:
作品 1358.67831356
房产 1350.62601824
运营商 1348.37244079
ips 1348.17741484
期货 1347.07656927
int 1345.64700664
陈述 1344.54736725
宜居 1341.8080379
中国军事 1339.06898187
转速 1336.43427516
师资 1334.13864554
京东 1332.93879219
收视 1332.68273741
销售 1331.71367279
传输 1330.02665617
公牛 1328.84206972
召唤 1328.4665314
演练 1325.25217729
长宽 1319.93167651
全高清 1313.69279568
社会 1307.3963265
广场 1306.9527007
日产 1306.29047604
施工 1304.97531689
点球 1302.32641605
al 1301.23186326
阿森纳 1300.90598485
rom 1299.51747686
峰值 1299.12308156
锦标赛 1296.78479546
东风日产 1293.25062337
运动 1291.34741183
剧情 1286.82119946
新一代 1286.68932774
显卡 1286.46769127
细胞 1285.49030905
命中率 1284.75121749
开盘 1280.93886657
不败 1278.37728395
腰线 1276.87539748
美国 1275.60381177
宽敞 1274.33075706
公开赛 1274.03898369
it 1273.99036653
摄入 1270.6723112
全车 1270.656653
军区 1270.39464043
搜狐体育 1269.0462885
表现 1267.94586292
离合 1266.47796425
小将 1263.87426025
置顶 1263.77974288
物质 1263.75043208
720p 1263.49828314
卖家 1262.09548632
奖金 1259.86654158
法院 1258.4009689
大气 1256.77904412
世锦赛 1256.54890616
请见 1255.65036503
空间 1255.4675078
争夺 1254.66945805
房子 1254.29107247
单位 1254.00214049
cpu 1253.95122451
数学 1253.36113362
下降 1253.31952751
助学 1253.19543323
购物 1251.70907432
歌迷 1250.45025014
成分 1250.04106723
曼城 1248.47344697
lt 1247.57764648
喜剧 1243.4972785
自动 1243.15248434
公办 1241.35856737
大胜 1240.77834388
投注 1240.77834388
跌幅 1240.24944883
平局 1235.77144334
伤病 1235.38823237
案件 1235.13132706
悬架 1234.16823866
华为 1233.68554488
usb 1233.38123754
创作 1227.18413924
合资 1226.72431683
体验 1222.87654397
相机 1222.82989137
前瞻 1222.82212574
face 1220.53262678
通讯员 1219.17254008
别墅 1218.14202511
詹姆斯 1217.58538426
头球 1217.02509379
在教 1216.13972909
培训 1214.69940466
维生素c 1212.18199967
家居 1211.92072912
外形 1211.27769514
显示屏 1208.51788628
中医 1206.40481707
客队 1204.10304427
社会保障 1203.72553746
大队 1203.2385755
外交 1202.96910091
巡航 1198.9417444
留学 1198.32631616
彩票 1196.04924589
商业 1191.81956948
电信 1191.68709012
数据 1189.64976666
夺得 1187.33853217
雪佛兰 1182.80609836
气门 1180.83177999
训练 1178.72706215
资金 1178.25469167
粉丝 1177.37245637
game 1177.06696539
演绎 1174.94044233
开播 1174.06423483
dota 1173.17352327
弗格森 1170.83094758
综合体 1170.57748743
医生 1169.28168675
地段 1168.86080553
五条 1168.65696498
导航 1167.18788666
io 1167.07010871
book 1166.30811994
控制系统 1166.23578372
cmos 1164.36812361
热血 1162.66025968
编队 1162.35413567
高等学校 1160.58139888
二手车 1160.46063521
个股 1160.23826963
门将 1155.77076432
设施 1154.9832833
不对 1154.71790915
倒车 1154.68319854
mb 1151.84146635
战神 1149.32492523
新手 1148.9218466
终端 1148.74505306
医院 1148.4616373
打球 1146.86628959
公园 1146.82868891
武将 1146.08382395
女主角 1144.85121728
防空 1142.76731372
制造业 1142.19064033
金融 1140.35937662
电源 1140.142427
主持人 1139.53041475
录制 1138.61204126
岛屿 1136.53165615
吸气 1134.88897747
射门 1134.62222912
网店 1134.46978603
失利 1134.29689491
江湖 1131.85027217
血管 1129.8719481
开工 1128.75432865
早盘 1128.59947654
行情 1126.08641611
娱乐 1125.98251689
局势 1123.8616184
调控 1122.12336038
cv 1120.61459592
开奖 1120.19555484
通信 1119.50249966
悬挂 1119.15383578
航班 1117.22807704
mpv 1113.40735933
太平洋 1111.76452385
园林 1110.48126338
雅虎 1110.35673756
公测 1109.02495688
调校 1107.96029462
含量 1106.62744445
界面 1106.56737147
服用 1105.98995886
中考 1103.49174325
售楼处 1103.18209324
菲律宾 1102.55600797
参谋长 1101.42990252
通胀 1098.78088438
白银 1098.07774211
武警 1097.20569374
上学 1096.95778251
跌破 1094.97837629
宠物 1094.2810442
亿美 1093.24679711
股票 1093.21427818
el 1090.80954361
业绩 1090.17839942
商业化 1089.04162074
创始人 1088.44840195
男性 1087.05394432
运动型 1086.74089805
工程 1085.33798845
路虎 1084.90360425
化名 1084.72159523
车头 1082.77428167
付费 1082.52774515
护卫舰 1082.48565382
复习 1081.57823876
高职 1081.35231096
售后服务 1080.7574401
终场 1080.56010307
爱美 1079.07385328
人才培养 1077.73341609
热火 1077.69166432
武装 1075.2535181
选手 1074.42092471
研制 1073.96737205
战争 1073.44396158
中级车 1072.36621127
生理 1071.60059415
克斯 1070.66890202
a股 1069.69073296
积分榜 1061.77969076
宽大 1061.6704153
索尼 1060.54083359
防卫 1060.3975577
片区 1060.29299143
时尚 1059.98156305
年级 1059.83834797
htc 1057.83973827
初中 1057.16462744
准考证 1054.84781498
中锋 1054.43659646
临床 1054.04789732
硬朗 1053.99946846
券商 1053.47427036
可变 1052.30597076
功率 1052.18477207
乘坐 1050.85783114
升学 1049.73715173
三分 1049.49508422
空头 1049.31055826
铝合金 1049.20992687
课堂 1048.85263122
组队 1047.91361675
抢断 1047.31618027
中印 1046.83009075
彩民 1046.00171487
军舰 1043.45551598
涨幅 1042.86879696
安东尼 1042.73395321
老人 1040.7503011
财报 1040.6003632
外壳 1040.13726828
步行者 1037.79178168
别克 1036.32973596
中立 1036.01037995
马刺 1033.85130328
福特 1033.42220514
旗舰 1032.47145214
恋情 1031.86694973
分数线 1030.04103718
商品房 1029.55238105
报案 1028.54838702
考场 1028.31939941
朋友 1028.26271389
人物 1027.63026207
体检 1027.15126064
驱逐舰 1024.85247799
自卫队 1024.85247799
esp 1024.02516155
km 1023.72784264
wifi 1022.89565232
潜艇 1022.36674989
看房 1022.33849911
亚马逊 1021.159329
科研 1021.14381915
东风 1020.778065
村民 1020.66842174
mhz 1019.43595679
效力 1018.28393898
abs 1018.02979234
消化 1018.02637383
本科生 1017.71103362
义务教育 1017.57855979
凯尔特人 1017.44272188
dnf 1017.28081793
豪华车 1016.93585684
架构 1016.67815258
作案 1016.65426746
奖杯 1013.91496392
平顺 1012.87339425
水果 1012.58907724
安全性 1012.50910756
三方 1011.58028474
商城 1011.11977378
风格 1010.84547312
路况 1009.93309813
输出功率 1008.83089743
民航 1007.43218124
英格兰 1007.39059903
头灯 1006.84042098
网民 1005.34809484
开局 1003.91299662
弹道导弹 1003.57561106
审理 1002.81239822
五角大楼 1002.79255911
传说 1000.33281418
原件 1000.26595815
为用 998.712939908
新房 998.598748803
获胜 997.834509491
外语 996.093863831
快船 995.277379381
大戏 994.056585474
矿物质 994.028394692
考点 989.272358139
柴油 988.336469128
好莱坞 988.324828479
回升 987.95184767
学费 987.273528978
中控 986.814353836
联储 986.707966517
胜负 986.152208297
直列 985.534243666
业务 985.063028642
金币 984.816319886
国安 984.387967897
加索尔 984.195493486
任意球 984.195493486
判处 983.143933579
糖 978.762498585
纪录 978.297489918
上线 977.942199127
福德 976.682185298
节油 974.882075794
ddr 973.883273666
气囊 973.562373801
暗示 973.359751237
紧凑型 971.596555034
转向 971.466059926
兑换 971.16759007
音响 971.089811611
肠胃 969.747276474
代表作 969.048604399
上篮 968.498255727
魔幻 968.308031726
买入 967.945581335
案发 967.716871639
学期 966.956919142
外线 966.038793999
涉嫌 965.908497824
广告主 965.468354227
亚军 965.397746637
黄金 965.25962554
试飞 965.094732938
首页 964.540808489
gm 964.224876204
交通 963.756909065
美方 962.016551425
交警 960.949934476
剧场 960.514738809
有期徒刑 959.115362759
荧屏 958.339891093
保罗 958.157747565
分数 957.504664793
热刺 957.429498142
运动员 957.374473395
边框 955.343427884
学术 954.473676152
休闲 953.862465084
民办 953.170317534
华语 951.485358209
英特尔 950.988657721
万美 950.826690526
对峙 949.879528422
考试院 949.322233724
学业 949.160071486
v8 948.870077958
输出 947.748826038
事业 947.193772625
ebd 946.301034009
大幅 946.053437387
改造 944.850697558
奖学金 944.455080941
反潜 944.405881048
进口 943.918984037
适量 943.896585666
刑事拘留 943.43132915
总价 943.293779812
聘用 940.947263363
游戏网 940.763947791
渠道 939.747557842
状态 939.400276744
厚度 939.073535234
感情 938.63442226
湖人 938.06465573
运营 937.025847444
花园 936.466832984
日均线 936.410684157
股份 936.341359176
储物 936.231971883
法师 934.047462334
公寓 933.796669347
打工 932.273691693
影视 931.879495464
改编 930.977447997
在线 930.604382884
支付 929.032368597
绯闻 928.210835398
账号 927.736787507
负于 926.986664292
社会化 926.798331172
国防部长 926.199676657
情感 926.039606816
商圈 925.851244838
双色球 925.471223443
万科 924.880233833
马自达 921.630588244
扩展 920.813292703
攻略 920.803949765
图像 920.2244956
led 919.613886377
综艺 919.095951072
上牌 918.469630823
信息反馈 917.978640463
优秀 917.789503716
上升 916.665244425
总统 916.110163673
低分 915.377202054
教材 914.089072377
封测 914.026145937
国际法 913.260187477
基金 913.142530716
游侠 912.46658637
机场 911.537541873
复出 911.450404884
公安 911.275894785
低点 910.3350837
关卡 909.877991139
模式 909.825487151
功耗 909.419802722
新区 907.395168086
耳机 906.877192136
成交 904.932317896
意甲 904.832376834
任务 904.109816879
网络营销 903.972807865
盗窃 903.752739233
下场 903.074878865
录用 903.022255657
可靠性 902.675322238
激素 902.206082786
资料片 901.615158534
传中 901.12970719
病人 900.97187361
